n,k,p,m,spanner_size,sparsification_ratio,size_bound,time_s,pairs_sampled,pairs_evaluated,disconnected_pairs,max_stretch,avg_stretch,violations,stretch_limit
1000,2,0.031623,15678,15446,0.9852,63245.55,0.0638,400,400,0,1.5,1.0025,0,3
1000,3,0.01,4978,4951,0.9946,30000.0,0.0236,400,400,0,1.3333,1.0008,0,5
1000,4,0.005623,2768,2766,0.9993,22493.65,0.0199,400,400,0,1.25,1.0006,0,7
2000,2,0.022361,44905,44331,0.9872,178885.44,0.1762,400,400,0,1.5,1.0025,0,3
2000,3,0.0063,12502,12475,0.9978,75595.26,0.0691,400,400,0,1.0,1.0,0,5
2000,4,0.003344,6599,6589,0.9985,53499.22,0.0382,400,400,0,1.0,1.0,0,7
4000,2,0.015811,126378,124728,0.9869,505964.43,1.5067,400,400,0,1.5,1.0012,0,3
4000,3,0.003969,31743,31699,0.9986,190488.13,0.1694,400,400,0,1.0,1.0,0,5
4000,4,0.001988,15917,15905,0.9992,127243.32,0.1099,400,400,0,1.0,1.0,0,7
7000,2,0.011952,292370,289059,0.9887,1171324.04,2.3914,400,400,0,1.5,1.0012,0,3
7000,3,0.002733,67235,67165,0.999,401715.55,1.604,400,400,0,1.0,1.0,0,5
7000,4,0.001307,32225,32205,0.9994,256113.54,0.9973,400,400,0,1.0,1.0,0,7
10000,2,0.01,500361,495567,0.9904,2000000.0,16.0457,400,400,0,1.5,1.005,0,3
10000,3,0.002154,108024,107954,0.9994,646330.41,1.1998,400,400,0,1.0,1.0,0,5
10000,4,0.001,50025,50015,0.9998,400000.0,0.5803,400,400,0,1.0,1.0,0,7
